pos,regular,signature,major,minor
1,500,700,750,300
2,300,400,500,165
3,190,350,350,105
4,135,325,325,80
5,110,300,300,65
6,100,275,270,60
7,90,225,250,55
8,85,200,225,50
9,80,175,200,45
10,75,150,175,40
11,70,130,155,37.5
12,65,120,135,35
13,60,110,115,32.5
14,57,100,105,31
15,55,90,95,30.5
16,53,80,85,30
17,51,70,75,29.5
18,49,65,70,29
19,47,60,65,28.5
20,45,55,60,28
21,43,50,55,26.76
22,41,48,53,25.51
23,39,46,51,24.27
24,37,44,49,23.02
25,35.5,42,47,22.09
26,34,40,45,21.16
27,32.5,38,43,20.22
28,31,36,41,19.29
29,29.5,34,39,18.36
30,28,32.5,37,17.42
31,26.5,31,35,16.49
32,25,29.5,33,15.56
33,23.5,28,31,14.62
34,22,26.5,29,13.69
35,21,25,27,13.07
36,20,24,26,12.44
37,19,23,25,11.82
38,18,22,24,11.2
39,17,21,23,10.58
40,16,20.25,22,9.96
41,15,19.5,21,9.33
42,14,18.75,20.25,8.71
43,13,18,19.5,8.09
44,12,17.25,18.75,7.47
45,11,16.5,18,6.84
46,10.5,15.75,17.25,6.53
47,10,15,16.5,6.22
48,9.5,14.25,15.75,5.91
49,9,13.5,15,5.6
50,8.5,13,14.25,5.29
51,8,12.5,13.5,4.98
52,7.5,12,13,4.67
53,7,11.5,12.5,4.36
54,6.5,11,12,4.04
55,6,10.5,11.5,3.73
56,5.8,10,11,3.61
57,5.6,9.5,10.5,3.48
58,5.4,9,10,3.36
59,5.2,8.5,9.5,3.24
60,5,8.25,9,3.11
61,4.8,8,8.5,2.99
62,4.6,7.75,8.25,2.86
63,4.4,7.5,8,2.74
64,4.2,7.25,7.75,2.61
65,4,7,7.5,2.49
66,3.8,6.75,7.25,2.36
67,3.6,6.5,7,2.24
68,3.4,6.25,6.75,2.12
69,3.2,6,6.5,1.99
70,3,5.75,6.25,1.87
71,2.9,5.5,6,1.8
72,2.8,5.25,5.75,1.74
73,2.7,5,5.5,1.68
74,2.6,4.75,5.25,1.62
75,2.5,4.5,5,1.56
76,2.4,4.25,4.75,1.49
77,2.3,4,4.5,1.43
78,2.2,3.75,4.25,1.37
79,2.1,3.5,4,1.31
80,2,3.25,3.75,1.24
81,1.9,3,3.5,1.18
82,1.8,2.75,3.25,1.12
83,1.7,2.5,3,1.06
84,1.6,2.25,2.75,1
85,1.5,2,2.5,0.93
